Meeting Time: Donnerstag, 29. Januar 2026 08:59-09:59
Participants: ds@winwin.global
Location: Zoom-Meeting

[00:00]  Dominique Stalder: "Programmierung, was wir so mitkriegen, die in."
[04:54]  Dominique Stalder: "Ich habe es aufgegeben. Ehrlich gesagt bin ich kurz davor, Zoom zu kündigen, weil ich nämlich auch Google Workspace Abo habe. Also es gibt verschiedene Ansätze, wenn man jetzt nur einfach bei der Tool Landschaft bleiben und jetzt im Moment zahle ich quasi Zoom und habe noch Sally. Es gibt auch TDL und andere Sachen, die echt gut sind mit Transkribieren. Allerdings habe ich in einem Google Meet, wo ich eh schon im Workspace Abo mit dabei habe, für 17 Dollar im Monat so krass viel, inklusive gleich schon die fertigen Transkripte."
[05:34]  Juliane Hoffmann: "Okay, also Google Workspace habe ich auch das Unternehmen. Ich habe da im Moment aber keine 17, sondern zwei. Wegen der Speicherkapazität habe ich ich glaube."
[05:43]  Dominique Stalder: "Das ist nur die Speicherkapazität, was der Unterschied ist, wenn du das Drive nicht vollleist, könnte es reichen."
[05:50]  Juliane Hoffmann: "Ja und selbst wenn ich es auf 10 Euro erhöhe, aber dann könnte ich Zoom ja tatsächlich und dann müsste ich natürlich meinen Calendly Buchungslink wieder auf Google Meet natürlich umswitchen."
[06:00]  Dominique Stalder: "Ja es ist einmal kurz eine Einstellungsgeschichte."
[06:04]  Juliane Hoffmann: "Ja genau, das müsste dann einmal gemacht werden, aber am Ende egal. Wichtig wäre mir, wenn jemand über Calendly bucht und die Praxis von gestern waren so eine Praxis, die haben tatsächlich über Calendar gebucht bekommen die natürlich dann direkt auch diesen Google Meet Link oder in dem Fall war es der Zoom Link als Automatismus. Das finde ich ja schon sehr smart, weil dann kann mir nichts verloren gehen, wenn eine Kundenanfrage ist. Das ist mir wichtig."
[06:29]  Dominique Stalder: "Also die Systeme kannst du eh super ineinander verschachteln oder Und da brauchst du noch gar nicht komplizierte Agenten oder sonst was. Mir ist jetzt einfach nur mal ganz wichtig, wo reden wir jetzt oder wir reden jetzt siehst du das Bild genau, wir reden jetzt eigentlich schon von einem Teilaspekt in Ebene 2 der operativen Prozesse. Und das ist effektiv so, dass eigentlich eine KI wirklich gut funktioniert, wenn die ganzen Fundamente besitzt. Das ist jetzt natürlich eine sehr sehr aus detaillierte Variante oder die ganzen Strategie Grundlagen, Markenentwicklung, Produkte, Customer Journey, Content Grundlagen, Copyright Grundlagen, Prozessdokumente und und und. Also wenn die das alles als Kontext überhaupt hat, dann funktioniert die erst oder Das zweite ist auch klar die übergeordnete Strategie, die ist jetzt insofern wichtig, dass du halt genau weiß was ist mein Ziel, wo möchte ich hin und was blockiert mich im Moment oder Und dann kommen eigentlich aus diesen sachen entsteht Ebene 3 warte ich muss das jetzt mal."
[07:54]  Juliane Hoffmann: "Kurz das passt von der Größe her ist alles gut."
[08:00]  Dominique Stalder: "Das siehst du nicht. Dein hübsches Lächeln hat gerade Ebene 3 überlagert OK die Ebene 3 die Knowledge Base, also da ist quasi das Basiswissen, die eigenen Businesses oder das Basiswissen für die Kunden, das Prozesswissen, das Fachwissen, Recherchewissen, aktuelles wie in der Praxis. Mitarbeiter A muss genau das haben."
[08:26]  Juliane Hoffmann: "So schwierig als Solo Selbstständiger, das ist."
[08:29]  Dominique Stalder: "Man hat die Kopf, keine Panik, oder Ich mag dich da einfach mal so ein bisschen stufenweise mitnehmen aus der ganzen Thematik oder Und es gibt auch eine Quick and Dirty Lösung für deine ChatGPT Umgebung, dass du mal eine Soforthilfe kriegst, damit du jetzt gerade ad hoc schon mal ein bisschen weiterkommst. Aber ich mag da jetzt stufenweise hin, dass du mal das große Bild auch siehst."
[08:59]  Juliane Hoffmann: "Ja, genau."
[09:00]  Dominique Stalder: "Oder? Und dann kommen wir in die ganzen Prozesse rein, oder von Akquise, Onboarding. Du bist jetzt gerade im Delivery Prozess drin, oder wenn du das jetzt in Systeme gießt, du hast jetzt gesagt, du machst jetzt so eine Praxisanalyse, oder da hast du ich bleib jetzt ganz simpel, du hast verschiedene Inputs, du hast gewisse Prozessregeln, oder was soll jetzt aus diesem Input passieren in deinem Fall zum Beispiel eine Zusammenfassung, die nächsten To Dos und so weiter. Sollte aber ein Teilaspekt sein, der wieder auf größeres Expertenwissen beruht, das dann zu einer gesamten Roadmap quasi verschmilzt."
[09:45]  Juliane Hoffmann: "Ja, genau."
[09:46]  Dominique Stalder: "Oder?"
[09:47]  Juliane Hoffmann: "Richtig."
[09:48]  Dominique Stalder: "Das sind ja viele Einzelteile, die dann."
[09:51]  Juliane Hoffmann: "Naja, das hat ja auch den Vorteil, dass ich. Ich bin beauftragt wegen dem Terminmanagement, aber eigentlich bin ich ja schon, nennt man das Cross Selling? Ich bin ja eigentlich, oder Upselling, ich bin ja schon im nächsten Selling Bereich mit der Praxis. Es war gar nicht geplant, dass der Inhaber mit mir im Austausch ist. Das war null geplant. Jetzt habe ich jede Woche in zweieinhalb, drei Stunden Call mit ihm. Das war so gar nicht vorgesehen. Total gut für mich. Aber ich mag auch langfristige Kooperation. Ich mag langfristige Betreuung, ohne die Kuh melken zu wollen. Darum geht es mir nicht. Aber wenn der Kunde zu verstehen gibt, ich arbeite gerne mit dir, Jule, das, was du mir lieferst, das finde ich total gut. Du gibst mir eine tolle Marschrichtung vor. Es hilft mir, dass wir hier weiterkommen, weil wir liebevolle Arschtritte erhalten in kleinen Päckchen mit kleinen Todos, also wirklich kleine Schritte, die für die Mitarbeiter auch gut umsetzbar sind. Dann zeigt mir das, ja, ich bin auf dem richtigen Weg, aber ich habe Sorge in der Geschwindigkeit der Außenwelt mit dem, was gerade ist, irgendwann den Anschluss zu verpassen. Also ich muss mit der Zeit gehen. Ich habe glücklicherweise eine gute Struktur, was mein Unternehmen anbetrifft."
[10:55]  Dominique Stalder: "Also super, weil das wäre jetzt Unternehmen."
[10:58]  Juliane Hoffmann: "Finanzen, Zahlungsmittel, Ansprechpartner, Steuerberater, gar nicht die Prozesse selber, aber meine Projekte sind nach Kunden sortiert, also alles ordentlich. Das ist eine durchnummerierte Struktur, die nach Chronologie geht."
[11:16]  Dominique Stalder: "Inwieweit hast du auf Basis von diesen ganzen Geschichten wirklich auch, hast du so einfach ein Sheet, wo jetzt mal ganz klar draufsteht, das ist meine Positionierung oder."
[11:30]  Juliane Hoffmann: "Eben, also nein, diese Struktur ist tatsächlich eher administrativ, das IT Unternehmen, die Logindaten, die Kunden, welche Projekte hatte ich bei den Kunden. Aber so wie ich es angehe oder so wie ich meine Buchhaltung mache, diese ganzen Geschichten, das habe ich nirgendwo festgehalten. Das ist alles nur hier drin."
[11:56]  Dominique Stalder: "Das macht ja eigentlich schlussendlich mit dir als Mensch, wenn du das auch alles da drin hast."
[12:01]  Juliane Hoffmann: "Ja, genau."
[12:03]  Dominique Stalder: "Okay, aber es steckt eigentlich indirekt in den Kundenprojekten drin, in deiner Homepage. Es wäre ja schon mal einiges da. In den Chats, die du schon gemacht hast, stecken Prozesse drin und so weiter. Es ist halt lose. Nicht so schön in Form gegossen, aber lose. Okay."
[12:25]  Juliane Hoffmann: "Und natürlich muss ich, Wenn ich dann ChatGPT nutze, ich habe natürlich auch Projekte angelegt, kundenbasiert, ja tralala, alles wunderbar. Aber im Prinzip muss ich ja jedes Mal das Rad neu erfinden. Das Gefühl habe ich. Das heißt, das Ergebnis ist ja eigentlich gar nicht qualitativ so dass ich mich darauf verlassen kann, dass beim nächsten Kunden wieder das gleiche qualitativ hochwertige Ergebnis rauskommt, weil der Prompt ist plötzlich anders. Ich habe im Hintergrund keine Werte eingestell, keine Philosophie, keine Vision. Ja, der Jan hat ein bisschen geteasert, das habe ich auch in dem Kurs gesehen, da fehlte mir schlichtweg die Zeit. Und ich glaube, dass es sinnvoll ist, so wie ich Kunden führe, in dem Bereich auch geführt zu werden. Ich kann mir zig Kurse angucken, ganz ehrlich, alles wunderbar. Dann habe ich mir Wissen aufgeladen, was ich morgen vergessen habe und dann setze ich es nicht um und habe wieder Geld ausgegeben mit einem sehr flach."
[13:20]  Dominique Stalder: "Das ist nicht zielführend. Also vor allem, du lernst so oft in den ganzen Dingen irgendwelche abstrakten Funktionen und alles drum und dran. Das ist nicht businessorientiert."
[13:32]  Juliane Hoffmann: "Aber wie kommst du, das würde mich nur interessieren zu deinem Hintergrund. Woher weißt du sowas denn? Was machst du denn? Also wer bist du denn?"
[13:39]  Dominique Stalder: "Okay, kann ich dir gerne erzählen. Willst du die große Story wissen, so."
[13:46]  Juliane Hoffmann: "Dass es zeitlich für uns passt?"
[13:47]  Dominique Stalder: "OK, Also mein Vater ist mit 16 gestorben, da habe ich dann schon nebenher McDonald's angefangen zu arbeiten, war nach einem Jahr dann eigentlich Manager dort, weil kaum einer Deutsch gesprochen hat und in der 2. Filiale aufgebaut haben, bin aber ein sehr menschlicher Mensch, aber allen erzählt, dass sie eine Lohnerhöhung verdient haben und bin dann gegangen werden müssen, weil es halt im Vertrag stand. So kam ich als quasi noch Schüler. Dann habe ich einen Ferienjob gemacht und da musste man immer Sachen einscannen und immer das Gleiche machen Und da habe ich dann halt gedacht, okay, wie mache ich das jetzt, weil ich habe keinen Bock immer wieder das Gleiche zu machen und habe die erste Automatisierung gebaut. Kommt auch damals unsere Familie kein Computer leisten. Also habe ich mir im Schrottplatz so viele Sachen geholt, dass ich mir das Ding selber zusammengebaut habe. Nachher bin ich aufgrund dessen dort in die Entwicklungsabteilung gekommen, das war 1999 und habe schon als einer der ersten dynamischen internetseiten gebaut mit 17 krass."
[14:54]  Juliane Hoffmann: "Also du hast ein enorm hohes Verständnis für diese Sachen. Das ist ja die Grundvoraussetzung."
[14:59]  Dominique Stalder: "Genau. Also und weißt du, und die Reise ging dann weiter. Also in der Schule, ich musste einfach Ich muss meine Familie unterstützen, ich muss die Schule selber zahlen, ich war auf einem guten Internat, ich habe alle Lehrer gehackt, ich hatte ein Riesenhandel mit Spickzetteln, ich habe Raubkopien gemacht von Games und so Sachen. So habe ich mein Taschengeld aufgebessert und nebenher und Wochenende habe ich dann halt gearbeitet, hatte als erster Laptop mit WLAN. Mit 21 hatte ich meine erste Firma für interne und externe Unternehmenskommunikation und habe eigentlich schon die Brücke gebaut zwischen itlern und Grafikdesignern, die noch offline unterwegs waren und Kunden. Und das haben wir in vier Ländern aufgebaut. Also ich hatte schon Kunden mit 21 wie Salzburger Landesregierung mit 23 hatte dann genau nebenher in den Ferien, muss ich noch dazu sagen, bin ich dann immer als Zimmermann und Schreiner auch arbeiten gegangen. Das alles neben meinem Studium. Ich habe übrigens zehn Jahre studiert Kommunikationswissenschaften als transdisziplinäre Brückenwissenschaft, einfach weil ich Bock hatte von Quantenphysik über Kommunikationswissenschaften, Informatik quer durchs Band. Ich bin eigentlich seit früh an bin ich eigentlich selbstständig. Ich habe jetzt allerdings, ich habe noch eine zweite Firma gegründet, da habe ich ein Patent gemacht für einen Pokerchip Train. Da kam ein Pokertischbauer auf mich zu, sagte die Dinger kann man nicht liefern, also die kommen aus China, die kommen erst in 18 Wochen an und so ein riesen Pokerboom, das war glaube ich 2004 und ja, wenn man das in Europa hochkriegt, dann wäre das Hammer Und dann habe ich einen Businessplan geschrieben, einen Gruppierkurs gemacht mit Produkten, Designer zusammengesessen, eine Woche danach hatte ich das Konzept fertig, die Bank hätte uns eine halbe Million Kredit gegeben, da waren Businessplan schon die ersten Online Casinos, alles drin und ich habe das durchgezogen, das hat auch gut ausgeschaut, bloß mein Partner und ich hab gesagt, wir nehmen keinen einzigen Cent von der Bank, das kriege ich ja so hin, kann ja Homepage alles selber machen, Vertriebsnetzwerk aufbauen, der hat sich den Kredit trotzdem geholt, als erstes ein Auto gekauft für Euro und die hat noch kein einziges Ding verkauft und das war der Punkt auch mit der anderen Firma, da hatte ich noch keine Ahnung von Buchhaltung, da ist echt viel Geld verschwunden und dann hatte ich wirklich schon mal ein Burnout, habe alles verkauft, beide Firmen und habe mich eigentlich auf mein Studium konzentriert, auf noch andere abgefahrene Fähigkeiten, die ich mir angeeignet habe. Also ich liebe lernen, ich bin Schwamm, ja cool, cool Und dann habe ich mir den Luxus gegönnt und habe eigentlich bis 32 studiert und dann bin ich so Vater geworden, drei Wochen nachdem ich meine Frau, mit der ich jetzt über elf Jahre verheiratet bin, bei uns waren."
[18:13]  Juliane Hoffmann: "Es sechs Wochen, sechs Wochen, wir sind auch verheiratet nach wie vor."
[18:19]  Dominique Stalder: "Okay, ja, das hat sein müssen. Genau, dann bin ich Papa geworden, habe mich nochmal selbstständig gemacht für interne externe Unternehmenskommunikation, einer meiner besten Kunden hat mich auch angestellt, da bin ich Marketingleiter und eierlegende Wollmilchsau bei einem Provider, heute noch 20 Prozent remote und bau gleichzeitig für den auch die ganze Schweizer Marke automatisiert auf und hab halt vor vier Jahren schon erkannt, dass sich technologisch enorm verändern wird und bin da eigentlich gleich ziemlich tief reingetaucht und hab dann aber auch schnell gemerkt, dass ich mehr lerne und effektiver bin, indem ich die Gebrauchsweisung und alles mögliche lese und das einfach auch praktisch umsetze und ja, ich habe einige Kurse gemacht, ich bin dann auch so in KI Business Community gewesen, die haben mir dann eigentlich gleich die Mitgliedschaft geschenkt, weil sie gesagt haben, okay, du bist so wertvoll, du Hilfst allen Mitgliedern, Mega spannend. Mittlerweile gebe ich dort bezahlte Workshops."
[19:28]  Juliane Hoffmann: "Also, aber du lebst auf Mallorca."
[19:32]  Dominique Stalder: "Ja, mein Sohn, der hat fünf Jahre lang jetzt gesagt, er will Tennisprofi werden. Also habe ich mir beigebracht, einen Sprinter auszubauen als Campervan mit Elektronik, mit allem. Das habe ich gemacht für überhaupt zweieinhalb Jahren. Sind auf Reisen gegangen, um eine gute Tennisakademie zu finden und haben auch hier jetzt in Mallorca einen gefunden. Er geht hier auf die Schule und ja."
[20:00]  Juliane Hoffmann: "Ja, spannend."
[20:01]  Dominique Stalder: "Also so jetzt hast du die große Rundum Geschichte eigentlich von mir gehört."
[20:06]  Juliane Hoffmann: "Ja, aber das ist total cool. Das hat, das hat mich am Anfang direkt und ich glaube, das ist auch der Match, den ich brauche mit jemandem, mit dem ich arbeite, der mit mir arbeitet von der menschlichen Sache her. Das hat mir der Jan ja so ein bisschen angeteasert und ich könnte, glaube ich jetzt nicht mit jemandem zusammenarbeiten, der im Anzug und Krawatte vor mir sitzt. Das ist einfach nicht mein Ding. Ja, also überhaupt gar nicht so. Es ist so abgefahren konträr. Ja, dein Leben, wie du lebst. Er geht auf Reisen für den Sohn. Ja, du sitzt da im Campervan. Ja, ich sitze hier komplett auf dem Ländle. Ja, wir leben auch ganz zurückgezogen auf einem Hektar Land. Ja, und das heißt trotz aller KI, trotz aller Automatisierung bin ich ganz froh hier zu sein und ich will keine Mitarbeiter. Ich will es einfach nicht. Ich habe keinen Bock mehr auf Mitarbeiter. Ich habe jahrelang Mitarbeiter geführt. Ich möchte das nicht mehr. Ich bin zufrieden, solo, selbstständig. Ich kann mir meinen Tag einteilen. Natürlich tausche ich Zeit auch gegen Geld. Also dieser ganze Influencer Hype mit Erstell dein digitales Produkt und du kannst als Mama K. Im Monat mindestens passiv verdienen. Klingt alles super. Habe ich alles mal versucht mit Insta. Es ist nicht mein Ding. Es macht mir keinen Spaß. Das heißt Geld zu verdienen. Ich brauche die intrinsische Motivation mit Leidenschaft und ganz ehrlich den ganzen Tag Postings zu machen, digitale Produkte zu erstellen im Posting und Reel zu gucken, wer, wer, wer folgt mir, wer kommentiert, wer kommentiert. Scheiße, macht das menschlich was mit mir. Das ist doch auch Arbeit am Ende."
[21:38]  Dominique Stalder: "Es geht also ich habe mir eine Automatisierung gebaut. Ich habe sie nicht live, aber sie funktioniert Mir die neuesten Newsletter runter, verwandelt sie in gute Scripts, nimmt mein Hedge in Avatar und postet quasi News Video auf YouTube."
[21:53]  Juliane Hoffmann: "Ja, mit Hey arbeite ich übrigens auch."
[21:55]  Dominique Stalder: "Ja, das habe ich gesehen. Ich wollte nur wissen, was machst du genau damit?"
[21:59]  Juliane Hoffmann: "Also es ist ja so, vielleicht ist es auch ähnlich wie bei dir folgendes. Ich bin Geschäftsführerin der Praxisfactory. Wir machen Verfahrensdokumentation für Heilberufler, vorzugsweise für Zahnärzte. Das heißt, alle buchhalterischen Prozesse müssen im Rahmen einer Betriebsprüfung als sogenannte Verfahrensdokumentation dem Finanzamt vorgelegt werden. Ha, so habe ich den."
[22:18]  Dominique Stalder: "Okay, du hast einen schwarzen Gürtel in Zettel Kung Fu."
[22:21]  Juliane Hoffmann: "Ja, genau. So, da bin ich seit November letzten Jahres mit Geschäftsführern. Wir haben die GmbH extra gegründet bzw. Mein Partner, weil der ist Steuerberater, damit die Umsätze, die wir möglicherweise im Rahmen von Gewerbesteuerpflicht dort erzielen, nicht seine Kanzlei infizieren. Der ist ja gewerbesteuerfrei als freiberuflicher Steuerberater. So viel dazu. Dann habe ich Kunden, sprich Praxen, mache eine Struktur Unternehmensprozessberatung bei einem Abrechnungsdienstleister für Heilberufler. Da bin ich dauerhaft quasi drin, ist ein Dauerkunde von mir und Dr. Flex ist ein Online Terminvergabeanbieter, das heißt für Heilberufler, sprich für Zahnärzte. Kennst ja Dr. Lipp, ist ja ein Begriff, aber auch. Also wenn du auf deine Zahnarztpraxis des Vertrauens gehst, sind die coolen Zahnarztpraxen, haben eine sogenannte Online Terminvergabe. Das heißt deine Vorsorge, professionelle Zahnreinigung buchst du natürlich online. Du rufst nicht mehr die Brigitte vom Empfang an."
[23:18]  Dominique Stalder: "Doch, ich schon. Ich mag das."
[23:19]  Juliane Hoffmann: "Ja genau, du magst das. Aber da geht demnächst die Voice AI ans Telefon. Da sind wir auch gerade mit allem Zip und Zap beschäftigt im Produkt."
[23:27]  Dominique Stalder: "Ich kenne das Zeug, ich weiß auch wie man die hackt."
[23:30]  Juliane Hoffmann: "Ja, das ist schön. Bitte macht es nicht. Und auf jeden Fall bei Dr. Flex brauchen die natürlich auch Schulungsvideos und so weiter und da hänge ich mit drin, wenn ich Schulungsvideos mache, das je nachdem oder Content, einfach nur ein stumpfes Ein Minuten Video, wo irgendwas stumpf erklärt wird zum Thema QM in Zahnarztpraxen, damit die Content haben. Das habe ich mit dem Heygen Avatar gemacht."
[23:55]  Dominique Stalder: "OK, finde ich heißt besser wirklich gezielte mit Hintergrund zu sagen zu machen ist trickier. Weißt, dass du wirklich schöne Folien im Hintergrund hast und das präsentationsmässig wird. Da ist Synthesia oder so heißt es ist da wesentlich spezialisierter. Und der nächste Hype oder kommt sind dann die interaktiven Avatare."
[24:19]  Juliane Hoffmann: "Ja, also was mir bei Hey, der ist schon gut Und für so ein einminütiges oder fünfminütiges Video, wenn du stumpf die Dinge erklärst und die Folien la laufen weiter. Also wir matchen extra Folien quasi, die über Figma gebaut werden, dann kommen die in Google Presentation Blabla. Das wird dann der Avatar wird dann darauf gelegt. Das klappt total gut. Das macht ja dann auch jemand ganz anderes aus der Abteilung, aber dafür reicht der Avatar auch völlig aus. Wenn ich jetzt aber wirklich authentisch sein möchte, damit am Ende des Tages jemand sagt boah, die Jude gefällt mir, mit der will ich arbeiten und zwar gar nicht wegen ihrem Produkt, weil ich finde die Frau cool, wie sie das erklärt hat, dann machen die deswegen mir Und das kriege ich mit einem Avatar nicht abgebildet."
[25:02]  Dominique Stalder: "Du kannst mittlerweile erschreckend gut machen, aber der Delay dazwischen, der verrät das Ganze, der macht es unnatürlich."
[25:10]  Juliane Hoffmann: "Ja, genau. Und das ist das, wo die Kunden, die ich habe, reagieren nicht auf den Avatar und sagen deswegen wollen wir mit der Jule arbeiten oder irgendwas. Ja, gestern, die habe ich in einem Webinar gesehen mit Dr. Flex und haben gesagt, oh, die scheint Ahnung zu haben, die müssen wir kontaktieren. So kommt das zustande und da ist Authentizität ist glaube ich, dann immer noch ein großes Geheimnis."
[25:33]  Dominique Stalder: "Okay. Und so hat sich das denn auch Ich mache mal hier ein bisschen wieder den Bogen, dass ich einen besseren Überblick habe. Du hast 13 Postfächer. Ja. Wie hast du das hingekriegt? Kannst du da irgendwas zusammenlegen oder irgendwas machen?"
[25:47]  Juliane Hoffmann: "Also ich hab privat über die iCloud, dann habe ich ein Postfach über die Apple ID, also damals war ja iCloud und Apple ID, das war ja nicht gematcht, das waren ja zwei unterschiedliche Postfächer. So, dann habe ich noch die Waldorfschule. Meine Kinder sind Waldorfschulgänger, also das Schul E Mail Postfach. Dann betreue ich drei Postfächer alleine aus der Praxis. Ach ja, ich bin noch bei einer Praxis angebunden, wo ich seit Jahren als Praxismanagerin tätig, bin aber nur noch vier Stunden in der Woche. Ich mache nur noch Buchhaltung und Personalverwaltung, keine Führung. Das sind drei Postfächer. Mein Unternehmen selber, das Dr. Flex Postfach, Praxisfactory im Bereich der Geschäftsführung. Ja, so kommt das so zustande."
[26:32]  Dominique Stalder: "Du hast irrsinnig viel Tätigkeitsfelder."
[26:36]  Juliane Hoffmann: "Ja, ist vielleicht auch dem geschuldet, als ich mich selbstständig gemacht habe, bist du im Bauchladen rumgerannt. Jein, Aber die Praxis, wo ich jahrelang als Praxismanagerin war und auch schon vom Homeoffice gearbeitet habe, war betriebswirtschaftlich eigentlich permanent in Schieflage. Also eine Praxis mit zu betreuen, die war vom Team her total cool. Chef cool, der hat Fehlentscheidungen getroffen. Aber eine Praxis mitzusteuern, die permanent wirtschaftlich nicht in die Gewinnzone kommt, so richtig, wo es Spaß macht. Ich rede von Spaß, das ist echt hart. Und dann war das irgendwie so, dass er die Praxis verkaufen wollte, ist auch mittlerweile so. Und dann habe ich mir entschieden, ich mache mich selbst. Ich habe das nebenbei schon gemacht mit der Beratung und dann hieß es halt, ich mache die volle Selbstständigkeit. Er konnte mich auch einfach nicht mehr halten. Voll, weil das betriebswirtschaftlich gar nicht mehr ging. Und so kam das, dass ich natürlich Kunden gesucht habe. Und ja, mein Steuerberater hat mich angesprochen, hey, du machst doch Prozesse, wir müssen Verfahrensdokumentation machen. Also es kam eins zum anderen. Und Dr. Flex war natürlich eine positive langfristige Kooperation, weil das natürlich, das weißt du selber, als Soloselbstständiger ist Sicherheit in den Finanzen natürlich auch ein gutes Ding."
[27:51]  Dominique Stalder: "Super. Ich mag meine Festanstellung nebenher auch. Da hast du einfach dein fixes Geld im Monat. Die einen Kunden zahlen mal später, die anderen weniger."
[28:01]  Juliane Hoffmann: "In der Praxis habe ich zwei Minijobs, ich bin da angestellt und mein Mann, fertig ist der Käse. Ich meine, das sind fast, das sind für vier Stunden in der Woche in einer Zahnarztpraxis online, von zu Hause aus netto, cash in the cash, net und."
[28:19]  Dominique Stalder: "Raus mit dem Rest. Aber du hast es fix drin für die fix."
[28:23]  Juliane Hoffmann: "Ich habe es fix drin und das ist der Punkt. Ja, und irgendwann sind die Kapazitäten natürlich voll mit Zeit gegen Geld, weil freitags, ich verarbeite nicht mehr als 24 bis 30 Stunden in der Woche. Freitags habe ich frei und ja der."
[28:40]  Dominique Stalder: "Familie sollte ja auch noch sein."
[28:42]  Juliane Hoffmann: "Ja genau das ist der Punkt und Partnerschaft. Richtig."
[28:46]  Dominique Stalder: "Der Tag hat leider nur 24 Stunden und schlafen."
[28:50]  Juliane Hoffmann: "Ich habe heute 13 Uhr Feierabend fertig."
